timestamp_index,predicted_direction,predict_price,exec_price,position
7102,1,105.45417462737606,105.85086134525542,1
7103,0,105.67248949858784,106.01751627693676,0
7104,1,105.5928831076221,105.98046941615183,1
7105,1,105.53921588324764,106.05608602395222,2
7106,1,105.70169028324936,106.03424835431647,3
7107,1,105.682552675688,106.06699793174988,4
7108,1,105.603720889376,105.93152619425432,5
7109,1,105.52829918332912,106.0023314386242,6
7110,1,105.68166113699948,106.22761028839626,7
7111,1,105.60211850143958,106.37367044697302,8
7112,1,105.6821679708564,106.3201375960979,9
7113,1,105.65075681652968,106.32617376082732,10
7114,1,105.40277548617024,106.43537731396783,11
7115,0,105.31986106839452,106.52672023832844,10
7116,1,105.2952493371662,106.63684937172594,11
7117,0,105.2901686246668,106.78230438505676,10
7118,1,105.28179617936853,106.8162152429447,11
7119,1,105.2933130653773,106.6827326288816,12
7120,1,105.41158964503028,106.78582738027606,13
7121,1,105.35167160472946,106.92005124719444,14
7122,1,105.50531838721264,106.78252715526769,15
7123,1,105.39223718885547,106.74815045171162,16
7124,1,105.41612695663504,106.8206629320053,17
7125,1,105.5697760491533,106.73832617872336,18
7126,1,105.6481417521959,106.66795658409345,19
7127,1,105.60395993219146,106.65425977724502,20
7128,1,105.64731657371902,106.6119352453048,21
7129,1,105.74974645517038,106.61184413907247,22
7130,1,105.78282067284982,106.56106705083248,23
7131,1,105.77976186931426,106.59307107726548,24
7132,1,105.76966869490175,106.46433189756932,25
7133,1,105.70685008808567,106.651779488545,26
7134,1,105.7573595889626,106.5893251337078,27
7135,1,105.8251373552304,106.47197456514412,28
7136,1,105.9971227869156,106.4931791184981,29
7137,1,106.14134299961718,106.64767485639364,30
7138,1,106.20472945760042,106.78361951117893,31
7139,1,106.19477853749584,106.62756914691649,32
7140,1,106.25720061583048,106.59028058764008,33
7141,1,106.2032597547617,106.63507836266238,34
7142,1,106.0340235353078,106.39505800105654,35
7143,0,105.94857595181122,106.40414435222546,34
7144,0,105.91612244320534,106.44898541113363,33
7145,0,106.0242895231646,106.41606559155706,32
7146,1,106.06125357920516,106.4843266489098,33
7147,1,106.05698934285316,106.58319084494995,34
7148,1,106.06113876262044,106.77374732091016,35
7149,1,106.018843604988,106.6373468607299,36
7150,1,106.09238330327784,106.5454733773052,37
7151,1,106.06281289867162,106.54396988654848,38
7152,1,106.00693647915084,106.470036888622,39
7153,1,105.97633707069882,106.49113571121552,40
7154,1,105.88031116482976,106.5991632517293,41
7155,1,105.93988751568418,106.57319599428592,42
7156,1,105.97168097032984,106.5438343573628,43
7157,1,105.93243428459994,106.57097510312371,44
7158,1,105.85901323247074,106.56802939587332,45
7159,1,105.8976665230645,106.6885316351062,46
7160,1,105.88844846607144,106.55529790040843,47
7161,1,106.144963456423,106.5338152538792,48
7162,1,106.23987467545852,106.53654076156944,49
7163,1,106.12434019191087,106.70630530083557,50
7164,1,106.13311410726304,106.67343294875673,51
7165,1,106.07576837259968,106.82177634154873,52
7166,1,106.17989475633976,106.91482194273868,53
7167,1,106.15656718462056,106.81287248665168,54
7168,0,106.11505844703704,106.91766670416614,53
7169,1,106.11571263851816,106.83047488987684,54
7170,1,106.00701100411894,106.9097347067659,55
7171,0,105.90667802151626,106.69387036666862,54
7172,1,105.72880120396712,106.61840709989303,55
7173,0,105.846149419872,106.70025204422724,54
7174,1,105.91402910211058,106.87531149184971,55
7175,1,105.92341277757347,106.771256564089,56
7176,1,105.81351528855976,106.7448186733846,57
7177,1,105.66044504270371,107.10681475244368,58
7178,1,105.77763394854048,107.1532318827053,59
7179,1,105.85173212259372,107.14703557407772,60
7180,1,105.9506059430634,107.1013199519663,61
7181,1,105.99171137645816,107.09967980419864,62
7182,1,106.08851923078448,107.01944985659152,63
7183,1,106.19495566112822,107.01053615157174,64
7184,1,106.18335245462988,107.1480699176235,65
7185,1,106.04239906317112,107.30224699086608,66
7186,1,105.93365589542198,107.27248038846602,67
7187,0,105.9664575216765,107.30211847753962,66
7188,0,105.87812512169243,107.30180689494374,65
7189,0,105.88728234518192,107.18381461094074,64
7190,0,105.7472192971248,107.30650349073088,63
7191,1,105.76819257402455,107.2272485575704,64
7192,1,105.81620219920268,107.29123816005468,65
7193,1,105.81793993723024,107.26597337297028,66
7194,1,105.78184028915214,107.17448937077116,67
7195,1,105.8206678212201,107.27248082751647,68
7196,1,105.76978765855512,107.22547829916763,69
7197,1,105.64439546216194,107.08184975965636,70
7198,0,105.69117759413716,107.15739088367457,69
7199,1,105.65718990155165,107.25051497914768,70
7200,1,105.75663672352924,107.11271675866404,71
7201,1,105.84269810905688,106.98683602577933,72
7202,1,105.85086134525542,107.0396911332912,73
7203,1,106.01751627693676,107.07237888293956,74
7204,1,105.98046941615183,107.13723029748274,75
7205,1,106.05608602395222,107.04244833747067,76
7206,1,106.03424835431647,107.07515565180675,77
7207,1,106.06699793174988,107.0683616149449,78
7208,1,105.93152619425432,107.0903342228746,79
7209,1,106.0023314386242,107.06286971612909,80
7210,0,106.22761028839626,106.89795461572824,79
7211,1,106.37367044697302,106.96556797532782,80
7212,1,106.3201375960979,107.08284394911418,81
7213,1,106.32617376082732,107.16169347755608,82
7214,1,106.43537731396783,107.05297620826386,83
7215,1,106.52672023832844,106.9124021990774,84
7216,0,106.63684937172594,106.79104115573732,83
7217,1,106.78230438505676,106.738683459326,84
7218,1,106.8162152429447,106.90667717919658,85
7219,1,106.6827326288816,107.05271436018556,86
7220,1,106.78582738027606,107.36853818440196,87
7221,1,106.92005124719444,107.4880549853073,88
7222,1,106.78252715526769,107.49757717054358,89
